Player,Age,Team,Pos,G,FG,FGA,FG%,FT,FTA,FT%,AST,PF,PTS,Awards
George Mikan,25,MNL,C,68,9.5,23.5,.407,8.3,10.7,.779,2.9,4.4,27.4,NBA1
Alex Groza,23,INO,,64,8.1,17.0,.478,7.1,9.7,.729,2.5,3.5,23.4,"ROY-1,NBA1"
Frankie Brian,26,AND,,64,5.8,18.1,.318,6.3,7.6,.824,3.0,3.0,17.8,NBA2
Kenny Sailors,29,DNN,,57,5.8,16.6,.349,5.8,8.0,.721,4.0,4.2,17.3,
Dolph Schayes,21,SYR,,64,5.4,14.1,.385,5.9,7.6,.774,4.0,3.5,16.8,NBA2
Max Zaslofsky,24,CHS,SG,68,5.8,16.6,.351,4.7,5.6,.843,2.3,2.7,16.4,NBA1
Ed Macauley,21,STB,,67,5.2,13.2,.398,5.7,7.9,.718,3.0,3.3,16.1,
Carl Braun,22,NYK,,67,5.6,15.3,.364,4.3,5.6,.762,3.7,2.8,15.4,
Ralph Beard,22,INO,,60,5.7,15.6,.363,3.6,4.7,.762,3.9,2.2,14.9,NBA2
Jim Pollard,27,MNL,SF,66,6.0,17.3,.346,2.8,3.7,.764,3.8,2.2,14.7,NBA1
Paul Hoffman,24,BLB,,60,5.2,15.2,.341,4.0,6.1,.665,2.7,3.9,14.4,
Dick Mehen,27,WAT,PF,62,5.6,13.3,.420,3.2,4.5,.705,3.1,3.3,14.4,
Fred Schaus,24,FTW,,68,5.2,14.6,.352,4.0,4.9,.818,2.6,3.4,14.3,NBA2
Joe Fulks,28,PHW,PF,68,4.9,17.8,.278,4.3,6.2,.696,0.8,3.5,14.2,
Bob Davies,30,ROC,PG,64,5.0,13.9,.357,4.1,5.4,.752,4.6,2.9,14.0,NBA1
Belus Smawley,31,STB,SG,61,4.7,13.6,.345,4.3,5.1,.828,3.5,2.6,13.7,
Dillard Crocker,25,DNN,PF,53,4.6,15.8,.292,4.4,6.0,.735,1.6,4.2,13.6,
Vern Gardner,24,PHW,SG,63,5.0,14.5,.342,3.6,4.7,.767,1.9,3.7,13.5,
Jack Nichols,23,2TM,PF,67,4.6,12.7,.366,3.9,5.1,.753,2.1,2.7,13.1,
Noble Jorgensen,24,SHE,C,54,4.0,11.4,.353,5.0,6.5,.766,1.7,3.7,13.0,
Fred Scolari,27,WSC,PG,66,4.7,13.8,.343,3.6,4.3,.822,2.7,2.7,13.0,
Don Otten,28,2TM,C,64,3.8,10.1,.373,5.3,7.2,.737,1.4,3.8,12.9,
Dike Eddleman,27,TRI,SF,64,5.2,14.2,.366,2.5,4.1,.623,2.2,4.0,12.9,
Harry Boykoff,27,WAT,,61,4.7,11.4,.413,3.3,4.3,.775,2.4,3.8,12.8,
Ed Sadowski,34,2TM,,69,4.3,13.4,.324,4.0,5.4,.735,2.0,3.5,12.6,
Max Morris,24,SHE,,62,4.1,11.2,.363,4.5,6.7,.667,3.1,2.8,12.6,
Wah Wah Jones,23,INO,PF,60,4.4,11.8,.374,3.7,5.0,.751,3.2,4.0,12.5,
Mike Todorovich,26,2TM,,65,4.0,13.1,.309,4.1,5.7,.719,3.2,3.5,12.2,
John Logan,29,STB,,62,4.0,12.2,.331,4.1,5.2,.783,3.9,3.3,12.2,
Bob Brannum,23,SHE,PF,59,4.0,12.2,.326,4.2,6.0,.690,3.5,4.7,12.1,
Bill Closs,28,AND,SF,64,4.4,14.0,.315,2.9,4.0,.718,2.5,3.0,11.8,
Harry Gallatin,22,NYK,,68,3.9,9.8,.396,4.1,5.4,.757,0.8,3.2,11.8,
Red Rocha,26,STB,C,65,4.2,10.4,.405,3.4,4.8,.703,2.4,4.0,11.8,
Bob Brown,26,DNN,,62,4.5,12.3,.361,2.8,4.1,.683,1.6,4.3,11.7,
Andy Phillip,27,CHS,,65,4.4,12.5,.349,2.9,4.2,.704,5.8,3.2,11.7,
Vern Mikkelsen,21,MNL,PF,68,4.2,10.6,.399,3.2,4.2,.752,1.8,3.3,11.6,
Bobby Wanzer,28,ROC,,68,3.7,9.0,.414,4.2,5.2,.806,3.1,1.5,11.6,
Bobby Cook,26,SHE,,51,4.4,12.2,.358,2.8,3.5,.790,3.1,2.2,11.5,
Leo Kubiak,22,WAT,,62,4.2,12.8,.326,3.1,3.8,.814,3.2,4.0,11.5,
Connie Simmons,24,NYK,,60,4.0,12.2,.331,3.3,5.0,.662,1.7,3.4,11.3,
Bob Kinney,29,BOS,,60,3.9,10.4,.375,3.4,5.3,.628,1.7,4.2,11.1,
Bill Gabor,27,SYR,SG,56,4.0,12.0,.337,2.8,4.1,.689,1.9,3.5,10.9,
John Hargis,29,AND,,60,3.7,9.2,.405,3.3,4.6,.711,1.7,2.8,10.7,
Don Boven,24,WAT,,62,3.4,9.0,.373,3.9,5.6,.688,2.2,4.1,10.6,
Odie Spears,25,CHS,SF,68,4.1,11.4,.357,2.3,3.4,.687,2.3,3.7,10.5,
Vince Boryla,22,NYK,SF,59,3.5,10.2,.340,3.5,4.5,.764,1.6,3.4,10.4,
Bruce Hale,31,INO,,64,3.4,9.6,.353,3.5,4.5,.782,3.5,2.2,10.3,
Charlie Black,28,2TM,,65,3.5,12.5,.278,3.2,4.9,.651,2.5,4.2,10.2,
Al Cervi,32,SYR,PG,56,2.6,7.7,.332,5.1,6.2,.829,4.7,4.0,10.2,NBA2
Sonny Hertzberg,27,BOS,,68,4.0,12.7,.318,2.1,2.8,.749,2.9,2.3,10.2,
Arnie Risen,25,ROC,C,62,3.3,9.6,.344,3.4,5.2,.664,1.5,3.7,10.1,
Ernie Vandeweghe,21,NYK,,42,3.9,9.3,.421,2.2,3.3,.664,1.9,3.0,10.0,
Milo Komenich,29,AND,,64,3.8,13.5,.283,2.3,3.9,.584,1.9,3.8,9.9,
Jack Burmaster,23,SHE,,61,3.9,11.7,.333,2.0,3.0,.681,2.9,3.9,9.8,
George Kaftan,21,BOS,SF,55,3.6,9.7,.372,2.5,3.8,.654,2.6,1.7,9.7,
Jack Toomay,27,DNN,,62,3.3,8.3,.397,3.0,4.3,.705,1.5,3.4,9.6,
Bob Carpenter,32,FTW,,66,3.2,9.3,.344,2.9,3.9,.742,1.4,2.5,9.3,
Bones McKinney,31,WSC,SF,53,3.5,11.9,.296,2.2,2.9,.776,1.7,3.5,9.3,
Duane Klueh,24,2TM,,52,3.1,8.0,.384,3.0,4.3,.707,1.8,2.1,9.1,
Ed Stanczak,28,AND,,57,2.8,8.0,.349,3.6,4.7,.752,1.2,2.9,9.1,
Walt Budko,24,BLB,PF,66,3.0,9.9,.304,3.0,4.0,.757,2.2,3.9,9.0,
Bill Calhoun,22,ROC,SG,62,3.3,8.9,.377,2.4,3.3,.719,1.9,1.6,9.0,
Chick Reiser,35,WSC,,67,2.9,9.6,.305,3.2,3.8,.835,2.6,3.3,9.0,
George Senesky,27,PHW,PG,68,3.3,10.4,.320,2.3,3.3,.704,3.9,2.4,9.0,
Ed Leede,22,BOS,,64,2.7,7.9,.343,3.5,4.9,.706,2.0,2.6,8.9,
Ralph Johnson,28,2TM,PG,67,3.6,11.6,.312,1.6,1.9,.806,2.6,3.1,8.8,
Tony Lavelli,23,BOS,,56,2.9,7.8,.372,3.0,3.5,.853,0.7,1.9,8.8,
Leo Mogus,28,PHW,,64,2.7,6.8,.396,3.4,4.7,.727,1.5,2.6,8.8,
Howie Shannon,26,BOS,,67,3.3,9.6,.344,2.1,2.7,.786,2.6,2.2,8.8,
Blackie Towery,29,BLB,,68,3.3,10.0,.327,2.3,3.0,.757,2.1,3.6,8.8,
Jack Coleman,25,ROC,PF,68,3.7,9.8,.377,1.3,1.8,.744,2.3,3.3,8.7,
Gene Vance,26,TRI,,35,3.1,9.3,.338,2.5,3.4,.717,3.5,4.1,8.7,
Dick McGuire,24,NYK,PG,68,2.8,8.3,.337,3.0,4.6,.652,5.7,2.4,8.6,
George Ratkovicz,27,SYR,PF,62,2.6,7.1,.369,3.4,5.6,.606,2.0,3.2,8.6,
Ron Livingstone,24,2TM,,54,3.0,10.7,.282,2.3,3.3,.689,2.6,4.8,8.3,
Howie Schultz,27,2TM,PF,67,2.7,10.0,.267,2.9,4.2,.695,2.5,3.6,8.3,
Red Holzman,29,ROC,PG,68,3.0,9.2,.330,2.1,3.1,.686,2.9,1.0,8.2,
Jimmy Darden,27,DNN,,26,3.0,9.3,.321,2.1,3.1,.688,2.6,2.6,8.1,
Bob Feerick,30,WSC,,60,2.9,8.3,.344,2.3,2.9,.799,2.1,2.3,8.1,
Kleggie Hermsen,26,CHS,,67,2.9,9.2,.319,2.3,3.7,.619,1.5,4.0,8.1,
Milt Schoon,27,SHE,,62,2.4,5.9,.410,3.2,4.8,.653,1.4,3.1,8.0,
Gene Englund,32,2TM,,46,2.3,6.0,.380,3.3,4.2,.792,0.9,3.6,7.8,
Rollie Seltz,26,AND,,34,2.7,9.1,.301,2.4,3.1,.769,1.9,2.1,7.8,
Bob Harris,22,FTW,,62,2.7,7.5,.361,2.3,3.6,.628,2.1,3.1,7.7,
Paul Seymour,22,SYR,,62,2.8,8.5,.334,2.0,2.8,.716,3.0,2.5,7.7,
Murray Wier,23,TRI,,56,2.8,8.6,.327,2.1,3.0,.693,1.9,2.5,7.7,
Johnny Ezersky,27,2TM,,54,2.6,9.0,.294,2.4,3.4,.694,1.6,2.6,7.6,
Alex Hannum,26,SYR,PF,64,2.8,7.6,.363,2.0,2.9,.688,2.0,4.1,7.5,
Brady Walker,28,BOS,PF,68,3.2,8.6,.374,1.1,1.7,.632,1.6,1.5,7.5,
Floyd Volker,28,2TM,,54,3.0,9.8,.309,1.3,2.4,.550,2.1,3.1,7.4,
Johnny Macknowski,27,SYR,,59,2.6,7.8,.333,2.2,3.0,.736,1.1,2.2,7.4,
Curly Armstrong,31,FTW,,63,2.3,8.2,.279,2.7,3.8,.705,2.8,3.4,7.3,
Arnie Johnson,29,ROC,SF,68,2.2,5.5,.396,2.9,4.3,.680,2.1,3.8,7.3,
Stan Miasek,26,CHS,,68,2.6,6.8,.381,2.1,3.3,.661,1.1,3.9,7.3,
Ed Peterson,25,SYR,,62,2.7,6.3,.428,1.8,3.0,.600,0.5,3.2,7.2,
Jack Kerris,25,2TM,PF,68,2.3,7.1,.326,2.5,3.8,.650,1.7,2.6,7.1,
Chink Crossin,26,PHW,,64,2.9,9.0,.322,1.2,1.6,.782,2.3,2.2,7.0,
Ariel Maughan,26,STB,,68,2.4,8.4,.279,2.3,3.0,.766,1.5,2.6,7.0,
Dick O'Keefe,26,WSC,,68,2.4,7.8,.306,2.2,3.0,.739,1.1,3.6,7.0,
Joe Dolhon,22,BLB,,64,2.2,7.2,.312,2.5,3.3,.734,2.4,3.0,6.9,
Leo Klier,26,FTW,,66,2.4,7.8,.304,2.1,2.9,.742,1.8,2.7,6.9,
Bob Doll,30,BOS,,47,2.6,7.4,.346,1.6,2.4,.658,2.3,2.5,6.7,
Frank Kudelka,24,CHS,,65,2.6,8.1,.326,1.4,2.2,.636,2.0,3.0,6.7,
Leo Barnhorst,25,CHS,SF,67,2.6,7.4,.349,1.3,1.9,.698,2.1,2.9,6.5,
Dee Gibson,26,TRI,,44,1.8,5.6,.314,2.9,4.0,.718,2.9,2.6,6.4,
Johnny Norlander,28,WSC,,40,2.5,7.3,.338,1.3,2.1,.624,0.8,1.8,6.3,
Danny Wagner,27,SHE,,11,1.7,4.9,.352,2.8,3.2,.886,1.6,2.0,6.3,
Tommy Byrnes,26,BLB,,53,2.3,7.5,.302,1.6,2.3,.702,1.7,1.4,6.2,
Warren Perkins,27,TRI,,60,2.1,7.0,.303,1.9,3.3,.590,1.9,4.3,6.2,
Johnny Payak,23,2TM,SG,52,1.9,6.4,.296,2.3,3.3,.699,1.7,2.2,6.1,
Stan Patrick,27,2TM,,53,2.2,5.5,.395,1.7,2.8,.605,1.4,1.4,6.1,
Chuck Gilmur,27,WSC,,68,1.9,5.6,.335,2.4,3.5,.680,1.6,4.0,6.1,
Joe Holland,24,INO,SF,64,2.3,7.1,.320,1.5,2.2,.690,2.0,3.4,6.1,
John Oldham,26,FTW,,59,2.2,7.2,.298,1.7,2.5,.710,1.7,3.3,6.1,
Walt Kirk,25,2TM,PG,58,1.7,6.2,.269,2.7,3.7,.718,1.8,2.7,6.0,
Fran Curran,27,ROC,,66,1.5,3.6,.417,3.0,3.7,.826,1.1,1.7,6.0,
Don Ray,28,TRI,,61,2.1,6.6,.323,1.7,2.4,.698,1.0,2.4,6.0,
Chips Sobek,29,SHE,,60,1.6,4.2,.378,2.6,3.4,.761,1.6,2.6,5.8,
Cliff Barker,29,INO,SG,49,2.1,5.6,.372,1.5,2.2,.708,2.2,2.0,5.7,
Jack Smiley,27,2TM,,59,1.7,6.2,.269,2.3,3.4,.677,2.7,3.3,5.6,
Harry Donovan,23,NYK,,45,2.0,6.1,.327,1.6,2.4,.689,0.8,2.4,5.6,
Mal McMullen,22,INO,,58,2.1,6.6,.324,1.3,2.4,.546,1.5,3.7,5.6,
Paul Walther,22,2TM,SG,53,2.2,5.5,.393,1.2,2.1,.578,1.1,2.3,5.5,
John Mahnken,27,3TM,C,62,2.1,8.0,.267,1.2,1.9,.670,1.7,3.7,5.5,
Hoot Gibson,28,2TM,,32,2.1,6.1,.344,1.3,2.0,.656,1.2,3.3,5.5,
Andrew Levane,29,SYR,,60,2.3,7.0,.333,0.9,1.4,.635,2.6,1.8,5.5,
Easy Parham,28,STB,,66,2.1,6.4,.325,1.3,2.7,.494,2.0,2.4,5.5,
Richie Niemiera,28,2TM,,60,1.8,5.8,.314,1.7,2.3,.748,1.9,1.3,5.4,
Arnie Ferrin,24,MNL,,63,2.1,6.3,.333,1.2,1.7,.697,1.5,2.3,5.4,
Kenny Rollins,26,CHS,PG,66,2.2,6.4,.342,1.0,1.3,.742,2.0,2.0,5.4,
Whitey Von Nieda,27,2TM,,59,2.0,5.7,.357,1.2,1.9,.635,2.4,2.2,5.3,
Ray Corley,22,SYR,,60,2.0,6.2,.316,1.3,2.0,.615,1.8,1.4,5.2,
Buddy Jeannette,32,BLB,,37,1.1,4.0,.284,2.9,3.6,.820,2.5,2.2,5.2,
Tex Ritter,25,NYK,,62,1.6,4.8,.337,2.0,2.8,.710,0.8,1.6,5.2,
Wayne See,26,WAT,,61,1.9,5.0,.373,1.5,2.2,.696,2.3,2.4,5.2,
Jack Cotton,25,DNN,,54,1.8,6.1,.292,1.5,3.0,.509,1.2,3.4,5.1,
Herm Schaefer,31,MNL,,65,1.9,4.8,.389,1.3,1.6,.851,3.1,1.6,5.1,
Price Brookfield,29,ROC,,7,1.6,3.3,.478,1.7,1.9,.923,0.1,1.0,4.9,
Chick Halbert,30,WSC,,68,1.6,4.2,.380,1.6,2.6,.640,1.3,2.0,4.8,
Jim Seminoff,27,BOS,,65,1.3,4.4,.300,2.2,2.9,.755,3.8,2.4,4.8,
Bill Henry,25,2TM,,63,1.4,4.4,.320,1.9,2.8,.670,0.8,1.9,4.7,
Don Carlson,30,MNL,,57,1.7,5.1,.341,1.2,1.7,.726,1.3,2.2,4.7,
Bob Royer,22,DNN,,42,1.9,5.5,.338,1.0,1.4,.707,2.0,1.7,4.7,
Charley Shipp,36,WAT,,23,1.5,6.0,.255,1.6,2.2,.725,2.0,2.0,4.7,
Andy Duncan,27,ROC,,67,1.9,4.3,.433,0.9,1.6,.556,0.6,2.4,4.6,
Jerry Fleishman,27,PHW,SG,65,1.6,5.4,.289,1.4,2.3,.616,1.8,2.0,4.6,
Ray Lumpp,26,NYK,,58,1.6,4.9,.322,1.5,1.9,.796,1.6,2.0,4.6,
Billy Hassett,28,2TM,,60,1.4,5.0,.278,1.7,2.7,.646,2.3,2.3,4.5,
Frank Gates,29,AND,,64,1.8,6.3,.281,1.0,1.5,.622,1.4,2.3,4.5,
Bob Harrison,22,MNL,,66,1.9,5.3,.359,0.8,1.1,.676,2.0,2.7,4.5,
Les Pugh,27,BLB,,56,1.2,4.9,.249,2.1,2.4,.846,0.3,2.1,4.5,
Dermie O'Connell,21,2TM,,61,1.8,7.0,.261,0.8,1.5,.528,1.5,1.5,4.4,
John Chaney,29,2TM,,16,1.6,5.4,.291,1.3,1.8,.690,1.3,1.4,4.4,
Leo Katkaveck,26,WSC,,54,1.9,6.1,.306,0.6,1.0,.607,1.3,1.9,4.4,
Bill Herman,25,DNN,,13,1.9,5.0,.385,0.5,0.8,.545,1.2,1.0,4.3,
Walt Lautenbach,27,SHE,,55,1.8,6.0,.301,0.7,1.0,.691,1.3,2.2,4.3,
Ed Mikan,24,2TM,C,65,1.4,4.9,.277,1.4,1.8,.767,0.6,2.2,4.2,
Dick Schulz,33,3TM,,50,1.3,4.2,.297,1.7,2.2,.755,1.3,2.1,4.2,
Ed Bartels,24,2TM,,15,1.5,5.7,.256,1.3,2.3,.559,1.3,1.9,4.2,
Nelson Bobb,25,PHW,PG,57,1.4,4.4,.323,1.4,2.3,.626,0.8,1.7,4.2,
Jake Bornheimer,22,PHW,,60,1.5,5.1,.289,1.3,2.0,.667,0.7,1.9,4.2,
Jack Phelan,24,2TM,,55,1.6,4.9,.325,0.9,1.6,.578,1.0,2.7,4.1,
Slater Martin,24,MNL,PG,67,1.6,4.5,.351,0.9,1.4,.634,2.2,2.4,4.0,
George Nostrand,26,3TM,,55,1.4,4.6,.306,1.0,1.8,.566,0.5,2.1,3.9,
Red Owens,24,2TM,SG,61,1.4,4.7,.299,1.1,1.7,.673,1.2,2.5,3.9,
Bob Tough,29,2TM,,29,1.5,5.3,.281,0.9,1.4,.675,1.3,1.4,3.9,
Marshall Hawkins,25,INO,,39,1.4,5.0,.282,1.1,1.6,.689,1.3,2.2,3.9,
Tony Jaros,29,MNL,,61,1.4,4.7,.291,1.2,1.6,.750,1.0,1.7,3.9,
Al Guokas,24,2TM,,57,1.6,5.2,.311,0.5,0.9,.560,1.7,2.5,3.8,
Matt Mazza,26,SHE,,26,1.3,4.2,.300,1.2,1.7,.711,1.1,1.3,3.8,
Paul Noel,25,NYK,,65,1.5,4.5,.337,0.8,1.3,.609,1.0,2.0,3.8,
Pep Saul,25,ROC,SG,49,1.5,3.7,.404,0.7,1.0,.723,0.6,0.7,3.7,
Butch van Breda Kolff,27,NYK,,56,1.0,3.0,.329,1.7,2.4,.716,1.4,2.0,3.7,
Joe Graboski,20,CHS,,57,1.3,4.3,.304,0.9,1.6,.596,0.6,1.7,3.6,
Andy O'Donnell,24,BLB,,25,1.5,4.3,.352,0.6,0.7,.778,0.7,1.3,3.6,
Carl Shaeffer,25,INO,,43,1.4,3.7,.369,0.7,1.3,.561,0.9,2.4,3.5,
Jake Carter,25,2TM,,24,1.0,3.1,.307,1.5,2.2,.679,1.0,2.5,3.4,
Freddie Lewis,29,2TM,,34,1.4,5.4,.250,0.7,0.9,.781,0.7,1.2,3.4,
Howie Janotta,25,BLB,,9,1.0,3.3,.300,1.4,1.8,.813,0.4,1.1,3.4,
Al Miksis,21,WAT,,8,0.6,2.6,.238,2.1,2.6,.810,0.5,2.8,3.4,
Marv Schatzman,22,BLB,,34,1.3,5.1,.247,0.9,1.5,.580,1.1,1.4,3.4,
Gene Stump,24,2TM,,49,1.3,4.3,.296,0.8,1.1,.685,0.9,1.2,3.3,
Gene Berce,23,TRI,,3,1.7,5.3,.313,0.0,1.7,.000,0.7,2.0,3.3,
Leroy Chollet,24,SYR,,49,1.2,3.7,.341,0.7,1.1,.625,0.8,1.1,3.2,
Glen Selbo,23,SHE,,13,0.8,3.9,.196,1.7,2.2,.759,1.8,1.2,3.2,
Gene Ollrich,27,WAT,,14,1.2,5.1,.236,0.7,1.0,.714,1.7,2.4,3.1,
John Pritchard,23,WAT,,7,1.3,4.1,.310,0.6,1.6,.364,1.1,2.0,3.1,
Bob Evans,24,INO,,47,1.2,4.3,.280,0.6,0.9,.682,1.2,2.1,3.0,
George Feigenbaum,21,BLB,,12,1.2,4.8,.246,0.7,1.5,.444,0.8,1.3,3.0,
Johnny Orr,22,2TM,,34,1.2,3.5,.339,0.4,0.4,.857,0.6,1.0,2.7,
Paul Cloyd,29,2TM,,7,1.0,3.7,.269,0.7,1.1,.625,0.3,0.7,2.7,
Bill Roberts,24,STB,,67,1.1,3.3,.347,0.4,0.6,.718,0.4,1.3,2.7,
John Mandic,30,2TM,,25,0.9,3.0,.293,0.9,1.3,.688,0.3,2.2,2.6,
Bud Grant,22,MNL,,35,1.2,3.3,.365,0.2,0.5,.412,0.5,1.0,2.6,
Ken Menke,27,WAT,,6,1.0,2.8,.353,0.5,1.3,.375,1.2,1.2,2.5,
Mac Otten,24,2TM,,59,0.9,2.6,.329,0.7,1.4,.494,0.6,2.0,2.4,
Charlie Parsley,24,PHW,,9,0.9,3.4,.258,0.7,0.8,.857,0.9,0.8,2.4,
Don Putman,27,STB,,57,0.9,3.5,.255,0.6,0.9,.635,1.6,2.0,2.4,
Clint Wager,30,FTW,,63,0.9,3.2,.281,0.5,0.7,.617,1.4,2.8,2.3,
D.C. Wilcutt,26,STB,,37,0.6,2.0,.329,0.8,1.1,.690,1.3,0.7,2.1,
Normie Glick,22,MNL,,1,1.0,1.0,1.000,0.0,0.0,,0.0,1.0,2.0,
Don Grate,26,SHE,,2,0.5,3.0,.167,1.0,1.0,1.000,1.5,1.5,2.0,
Joe Bradley,21,CHS,,46,0.8,2.9,.269,0.3,0.8,.395,0.8,1.1,1.9,
Dale Hamilton,30,WAT,,14,0.6,2.4,.242,0.6,1.4,.474,1.2,2.1,1.8,
Gene James,24,NYK,,29,0.7,2.2,.297,0.5,1.1,.452,0.7,1.8,1.8,
Jerry Rullo,26,PHW,,4,0.8,2.3,.333,0.3,0.3,1.000,0.5,0.5,1.8,
Earl Dodd,25,DNN,,9,0.7,3.0,.222,0.3,0.6,.600,0.7,1.4,1.7,
Mike Novak,34,2TM,,60,0.6,2.5,.248,0.4,0.8,.532,1.0,2.3,1.7,
Hook Dillon,26,WSC,,22,0.5,2.5,.182,0.7,1.0,.727,0.2,0.9,1.6,
Elmer Gainer,31,WAT,,15,0.6,2.3,.257,0.4,0.5,.750,0.5,1.9,1.6,
Jim Nolan,22,PHW,,5,0.8,4.2,.190,0.0,0.0,,0.8,2.8,1.6,
Jim Browne,20,DNN,,31,0.5,1.5,.354,0.4,0.9,.481,0.3,0.5,1.5,
Bob Wood,28,SHE,,6,0.5,2.3,.214,0.2,0.2,1.000,0.2,1.0,1.2,
Mike McCarron,27,2TM,,8,0.4,1.9,.200,0.4,0.6,.600,0.4,0.6,1.1,
Robert Hahn,24,CHS,,10,0.4,1.3,.308,0.2,0.7,.286,0.1,1.7,1.0,
Murray Mitchell,26,AND,,2,0.5,1.5,.333,0.0,0.0,,1.0,0.5,1.0,
Jerry Nagel,21,FTW,,14,0.4,2.0,.214,0.1,0.3,.250,1.3,0.8,0.9,
Paul Gordon,22,BLB,,4,0.0,1.5,.000,0.8,1.3,.600,0.8,0.8,0.8,
Joe Mullaney,25,BOS,,37,0.2,1.9,.129,0.3,0.4,.800,1.4,0.8,0.8,
Jack Parkinson,25,INO,,4,0.3,3.0,.083,0.3,0.3,1.000,0.5,0.8,0.8,
Art Spector,31,BOS,,7,0.3,1.7,.167,0.1,0.6,.250,0.4,0.6,0.7,
Dick Triptow,27,BLB,,4,0.0,1.3,.000,0.5,0.5,1.000,0.3,1.3,0.5,
Lee Knorek,28,BLB,,1,0.0,2.0,.000,0.0,0.0,,0.0,4.0,0.0,
