Player,Age,Team,Pos,G,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
George Mikan,26,MNL,C,68,10.0,23.3,.428,8.5,10.5,.803,14.1,3.1,4.5,28.4,"AS,NBA1"
Alex Groza,24,INO,,66,7.5,15.8,.470,6.7,8.6,.786,10.7,2.4,3.6,21.7,"AS,NBA1"
Ed Macauley,22,BOS,,68,6.8,14.5,.466,6.9,9.0,.759,9.1,3.7,3.0,20.4,"AS,NBA1"
Joe Fulks,29,PHW,PF,66,6.5,20.6,.316,5.7,6.7,.855,7.9,1.8,3.7,18.7,"AS,NBA2"
Paul Arizin,22,PHW,SF,65,5.4,13.3,.407,6.4,8.1,.793,9.8,2.1,4.4,17.2,"ROY-1,AS"
Dolph Schayes,22,SYR,,66,5.0,14.1,.357,6.9,9.2,.752,16.4,3.8,4.1,17.0,"AS,NBA2"
Ralph Beard,23,INO,,66,6.2,16.8,.368,4.4,5.7,.775,3.8,4.8,1.5,16.8,"AS,NBA1"
Frankie Brian,27,TRI,,68,5.3,16.6,.322,6.1,7.5,.823,3.6,3.9,3.2,16.8,"AS,NBA2"
Arnie Risen,26,ROC,C,66,5.7,14.2,.401,4.9,6.7,.734,12.0,2.4,4.2,16.3,
Bob Cousy,22,BOS,PG,69,5.8,16.5,.352,4.0,5.3,.756,6.9,4.9,2.7,15.6,AS
Dike Eddleman,28,TRI,SF,68,5.9,16.5,.355,3.6,5.1,.699,6.0,2.5,3.4,15.3,AS
Bob Davies,31,ROC,PG,63,5.2,13.9,.372,4.8,6.0,.795,3.1,4.6,3.3,15.2,"AS,NBA1"
Fred Schaus,25,FTW,,68,4.6,13.5,.340,5.9,7.1,.835,7.3,2.7,3.5,15.1,AS
Vince Boryla,23,NYK,SF,66,5.3,13.1,.406,4.2,5.0,.837,3.8,2.8,3.7,14.9,AS
Vern Mikkelsen,22,MNL,PF,64,5.6,14.0,.402,2.9,4.3,.676,10.2,2.8,4.1,14.1,"AS,NBA2"
Larry Foust,22,FTW,C,68,4.8,13.9,.346,3.8,5.8,.659,10.0,1.3,3.6,13.5,AS
Fred Scolari,28,2TM,PG,66,4.6,14.0,.327,4.2,5.0,.843,3.3,3.9,2.8,13.4,
Red Rocha,27,BLB,C,64,4.6,13.2,.352,3.8,4.7,.809,8.0,2.3,3.8,13.1,AS
Ken Murray,22,2TM,SG,66,4.6,13.4,.339,3.8,5.0,.747,5.4,3.1,2.5,12.9,
George Ratkovicz,28,SYR,PF,66,4.0,9.6,.415,4.9,6.7,.731,8.3,2.9,3.9,12.9,
Harry Gallatin,23,NYK,,66,4.4,10.7,.416,3.9,5.4,.732,12.1,2.7,3.7,12.8,AS
Max Zaslofsky,25,NYK,SG,66,4.6,12.9,.354,3.5,4.5,.775,3.5,2.1,2.3,12.7,
Belus Smawley,32,2TM,SG,60,4.2,11.1,.380,3.8,4.5,.850,3.0,2.7,2.4,12.2,
Bill Sharman,24,WSC,SG,31,4.5,12.3,.370,3.1,3.5,.889,3.5,1.3,2.8,12.2,
Jack Nichols,24,TRI,PF,6,4.5,13.2,.342,2.7,3.5,.762,10.5,2.5,3.8,11.7,
Jim Pollard,28,MNL,SF,54,4.7,13.5,.352,2.2,2.9,.750,9.0,3.4,2.9,11.6,AS
Jack Coleman,26,ROC,PF,67,4.7,11.2,.421,2.0,2.6,.779,8.7,2.9,2.9,11.4,
Bill Gabor,28,SYR,SG,61,4.2,12.2,.342,2.9,4.0,.740,2.5,2.0,3.5,11.3,
Wah Wah Jones,24,INO,PF,22,4.2,10.8,.392,2.8,3.5,.792,5.7,3.9,3.4,11.2,
Andy Phillip,28,PHW,,66,4.2,10.5,.399,2.9,3.8,.751,6.8,6.3,3.3,11.2,AS
Bobby Wanzer,29,ROC,,68,3.7,9.2,.401,3.4,4.0,.850,3.4,2.7,1.9,10.8,
Jack Kerris,26,FTW,PF,68,3.8,10.1,.370,3.0,4.3,.681,7.0,2.7,3.7,10.5,
George Senesky,28,PHW,PG,65,3.8,10.8,.354,2.8,3.7,.761,5.0,5.3,2.2,10.4,
Dick Schnittker,22,WSC,SF,29,3.0,7.2,.411,4.2,4.9,.866,5.3,1.4,2.8,10.2,
Noble Jorgensen,25,2TM,C,63,3.5,9.5,.372,2.9,4.2,.687,5.4,1.4,3.8,10.0,
Mike Todorovich,27,TRI,,66,3.3,10.8,.309,3.2,4.6,.701,6.9,2.7,3.0,9.9,
Sonny Hertzberg,28,BOS,,65,3.2,10.0,.316,3.4,4.2,.826,4.0,3.8,2.4,9.8,
Arnie Johnson,30,ROC,SF,68,2.7,5.9,.459,4.0,5.5,.725,6.6,2.6,4.3,9.4,
Chuck Cooper,24,BOS,,66,3.1,9.1,.344,3.0,4.0,.753,8.5,2.6,3.3,9.3,
Connie Simmons,25,NYK,,66,3.5,9.3,.374,2.2,3.2,.702,6.5,1.8,3.4,9.2,
Paul Walther,23,INO,SG,63,3.4,10.1,.336,2.3,3.3,.694,3.6,3.6,3.2,9.1,
Bill Closs,29,PHW,SF,65,3.1,9.7,.320,2.6,3.4,.744,6.2,1.7,2.4,8.8,
Paul Hoffman,25,BLB,,41,3.1,9.7,.318,2.6,3.8,.673,4.9,2.7,3.3,8.8,
Ed Mikan,25,3TM,C,61,3.2,9.1,.347,2.2,3.1,.725,5.6,1.0,3.2,8.6,
Al Cervi,33,SYR,PG,53,2.5,6.5,.382,3.7,4.5,.819,2.9,3.9,3.4,8.6,
Nat Clifton,28,NYK,PF,65,3.2,10.1,.322,2.2,4.0,.532,7.6,2.5,4.1,8.6,
Ralph Johnson,29,FTW,PG,68,3.5,10.8,.319,1.7,2.4,.704,4.0,2.7,3.6,8.6,
Don Otten,29,3TM,C,67,2.4,7.1,.338,3.7,4.6,.799,6.0,0.9,3.8,8.5,
Slater Martin,25,MNL,PG,68,3.3,9.2,.362,1.8,2.6,.684,3.6,3.5,2.9,8.5,
Dick McGuire,25,NYK,PG,64,2.8,7.5,.371,2.8,4.3,.649,5.2,6.3,2.4,8.4,"AS,NBA2"
John Oldham,27,FTW,,68,2.9,8.8,.333,2.5,4.3,.586,3.6,1.9,3.6,8.4,
Bob Lavoy,24,INO,PF,63,3.5,9.8,.357,1.3,2.1,.632,4.9,1.2,3.0,8.3,
Kenny Sailors,30,2TM,,60,3.0,8.9,.340,2.2,3.0,.728,2.0,2.5,3.3,8.2,
