Player,Age,Team,Pos,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Wilt Chamberlain,28,2TM,C,73,45.2,14.6,28.5,.510,5.6,12.1,.464,22.9,3.4,2.0,34.7,"MVP-5,AS,NBA2"
Jerry West,26,LAL,PG,74,41.4,11.1,22.4,.497,8.8,10.7,.821,6.0,4.9,3.0,31.0,"MVP-3,AS,NBA1"
Oscar Robertson,26,CIN,PG,75,45.6,10.8,22.4,.480,8.9,10.6,.839,9.0,11.5,2.7,30.4,"MVP-2,AS,NBA1"
Elgin Baylor,30,LAL,SF,74,41.3,10.3,25.7,.401,6.5,8.2,.792,12.8,3.8,3.2,27.1,"AS,NBA1"
Sam Jones,31,BOS,SG,80,36.1,10.3,22.7,.452,5.4,6.5,.820,5.1,2.8,2.2,25.9,"MVP-4,AS,NBA2"
Walt Bellamy,25,BAL,C,80,41.3,9.2,18.0,.509,6.4,9.4,.685,14.6,2.4,3.3,24.8,AS
Bob Pettit,32,STL,PF,50,35.1,7.9,18.5,.429,6.6,8.1,.820,12.4,2.6,3.3,22.5,"AS,NBA2"
Jerry Lucas,24,CIN,PF,66,43.4,8.5,17.0,.498,4.5,5.5,.814,20.0,2.4,3.2,21.4,"AS,NBA1"
Hal Greer,28,PHI,SG,70,37.1,7.7,17.8,.433,4.8,5.9,.811,5.1,4.5,3.6,20.2,"AS,NBA2"
Willis Reed,22,NYK,C,80,38.0,7.9,18.2,.432,3.8,5.1,.742,14.7,1.7,4.2,19.5,"ROY-1,AS"
Bailey Howell,28,BAL,PF,80,37.2,6.4,13.0,.495,6.3,7.9,.801,10.9,2.6,4.3,19.2,
Gus Johnson,26,BAL,SF,76,38.1,7.6,18.1,.418,3.4,5.1,.676,13.0,3.6,3.4,18.6,"AS,NBA2"
Don Ohl,28,BAL,SG,77,36.6,7.4,16.8,.438,3.7,5.0,.732,4.4,3.2,3.6,18.4,AS
John Havlicek,24,BOS,SG,75,28.9,7.6,18.9,.401,3.1,4.2,.744,4.9,2.7,2.7,18.3,
Terry Dischinger,24,DET,SG,80,33.7,7.1,14.4,.493,4.0,5.3,.755,6.0,2.5,3.2,18.2,AS
Zelmo Beaty,25,STL,C,80,36.5,6.3,13.1,.482,4.3,6.0,.715,12.1,1.4,4.1,16.9,
Dave DeBusschere,24,DET,PF,79,35.1,6.4,15.1,.425,3.9,5.5,.700,11.1,3.2,3.1,16.7,
Nate Thurmond,23,SFW,PF,77,41.2,6.7,16.1,.419,3.1,4.6,.658,18.1,2.0,3.0,16.5,AS
Lenny Wilkens,27,STL,PG,78,36.6,5.6,13.4,.414,5.3,7.2,.746,4.7,5.5,3.6,16.5,AS
Jim Barnes,23,NYK,PF,75,34.5,6.1,14.3,.424,3.3,5.1,.662,9.7,1.2,4.2,15.5,ROY-3
Ray Scott,26,DET,PF,66,32.8,6.1,16.5,.368,3.3,4.8,.701,9.6,3.6,3.2,15.5,
Adrian Smith,28,CIN,SG,80,34.3,5.8,12.7,.456,3.6,4.3,.830,2.8,3.0,2.5,15.1,
Luke Jackson,23,PHI,PF,76,34.1,5.5,13.3,.414,3.8,5.3,.713,12.9,1.2,3.3,14.8,"ROY-2,AS"
Guy Rodgers,29,SFW,SG,79,34.2,5.9,15.5,.380,2.8,4.1,.686,4.1,7.2,3.2,14.6,
Jack Twyman,30,CIN,SF,80,28.0,6.0,13.5,.443,2.5,3.0,.828,4.8,1.7,3.0,14.5,
Richie Guerin,32,STL,SG,57,29.4,5.2,11.6,.446,4.1,5.3,.767,2.6,4.8,3.4,14.4,
Bob Boozer,27,NYK,SF,80,26.7,5.3,12.0,.440,3.6,4.7,.768,7.6,1.4,2.3,14.2,
Rudy LaRusso,27,LAL,PF,77,33.6,4.9,10.7,.461,4.2,5.4,.773,9.4,2.6,3.4,14.1,
Bill Russell,30,BOS,C,78,44.4,5.5,12.6,.438,3.1,5.5,.573,24.1,5.3,2.6,14.1,"MVP-1,AS,NBA1"
Dick Barnett,28,LAL,SG,74,27.4,5.1,12.3,.413,3.6,4.6,.799,2.7,2.1,2.8,13.8,
Eddie Miles,24,DET,PG,76,27.3,5.8,13.1,.442,2.2,2.9,.744,3.4,2.1,2.6,13.7,
Tom Heinsohn,30,BOS,SF,67,25.5,5.4,14.2,.383,2.7,3.4,.795,6.0,2.3,3.8,13.6,AS
Larry Costello,33,PHI,PG,64,30.7,4.8,10.9,.445,3.8,4.3,.877,2.6,4.3,3.8,13.5,AS
Chet Walker,24,PHI,SF,79,27.7,4.8,11.8,.403,3.6,4.9,.742,6.7,1.7,2.5,13.2,
Cliff Hagan,33,STL,SF,77,22.6,5.1,11.7,.436,2.8,3.5,.799,3.6,1.8,2.4,13.0,
Kevin Loughery,24,BAL,PG,80,30.2,5.1,12.0,.424,2.7,3.5,.754,2.9,3.7,4.0,12.8,
Paul Neumann,27,2TM,PG,76,26.8,4.8,10.2,.473,3.1,4.0,.772,2.6,3.1,2.9,12.7,
Wayne Embry,27,CIN,C,74,30.3,4.8,10.4,.456,3.2,5.0,.644,10.0,1.2,4.0,12.7,AS
Tom Meschery,26,SFW,SF,79,30.5,4.6,11.6,.394,3.5,4.7,.751,8.3,1.3,3.5,12.7,
Dave Gambee,27,PHI,SF,80,24.9,4.5,10.8,.412,3.7,4.6,.813,5.9,1.4,3.5,12.6,
Howard Komives,23,NYK,PG,80,29.7,4.8,12.8,.374,2.7,3.2,.835,2.4,3.3,3.1,12.2,ROY-4
Reggie Harding,22,DET,C,78,34.6,5.2,12.7,.410,1.6,2.7,.612,11.6,2.3,3.3,12.0,
Tom Sanders,26,BOS,PF,80,30.7,4.7,10.9,.429,2.4,3.2,.745,8.3,1.2,4.0,11.8,
Chico Vaughn,24,STL,SG,75,26.2,4.6,10.8,.424,2.4,3.2,.752,2.3,2.1,2.6,11.6,
Bill Bridges,25,STL,PF,79,29.9,4.6,11.9,.386,2.4,3.5,.676,10.8,2.4,3.5,11.5,
Johnny Green,31,NYK,PF,78,22.1,4.4,9.4,.469,2.1,3.9,.548,7.0,1.7,2.5,11.0,AS
Rod Thorn,23,DET,SG,74,23.9,4.3,10.1,.427,2.4,3.3,.724,3.6,2.2,1.6,11.0,
Joe Caldwell,23,DET,SF,66,23.4,4.4,11.8,.374,2.0,3.2,.614,6.7,1.8,2.6,10.7,ROY-4
Willie Naulls,30,BOS,SF,71,20.6,4.3,11.1,.384,2.0,2.5,.813,4.7,1.0,3.2,10.5,
Leroy Ellis,24,LAL,C,80,25.3,3.9,8.8,.444,2.5,3.6,.697,8.2,0.6,2.5,10.3,
Al Attles,28,SFW,PG,73,23.7,3.5,9.1,.384,2.3,3.8,.624,3.3,2.8,3.3,9.3,
Johnny Egan,26,NYK,PG,74,22.5,3.5,7.1,.488,2.2,2.7,.814,1.9,3.4,1.9,9.2,
Dave Budd,26,NYK,SF,62,19.2,3.2,6.6,.482,2.0,2.7,.712,5.0,1.0,2.4,8.3,
Len Chappell,24,NYK,C,43,15.2,3.4,8.5,.395,1.6,2.3,.680,3.3,0.3,1.7,8.3,
K.C. Jones,32,BOS,PG,78,31.2,3.2,8.2,.396,1.8,2.9,.630,4.1,5.6,3.4,8.3,
McCoy McLemore,22,SFW,SF,78,22.2,3.1,9.3,.337,2.0,2.8,.714,6.3,1.0,2.9,8.3,
Red Kerr,32,PHI,C,80,22.6,3.3,8.9,.370,1.6,2.3,.696,6.9,2.5,1.7,8.2,
Connie Dierking,28,2TM,C,68,19.0,3.2,7.9,.405,1.5,2.5,.595,6.4,1.1,2.4,7.9,
Wayne Hightower,25,2TM,PF,75,20.6,2.6,7.6,.344,2.6,3.4,.768,5.6,0.7,2.7,7.8,
Bucky Bockhorn,31,CIN,SG,19,22.3,3.2,8.3,.382,1.5,2.1,.718,2.9,2.4,2.7,7.8,
Bud Olsen,24,CIN,PF,79,17.4,2.8,6.5,.438,1.8,2.5,.738,4.2,1.1,2.6,7.5,
Ron Bonham,22,BOS,SF,37,10.0,2.5,5.9,.414,2.5,3.0,.821,2.1,0.5,0.9,7.4,ROY-4
Gary Phillips,25,SFW,SG,73,21.1,2.7,7.6,.358,1.6,2.7,.603,2.6,2.0,2.5,7.1,
John Barnhill,26,STL,SG,41,19.0,3.0,7.6,.388,1.1,1.7,.643,2.2,1.9,1.4,7.0,
Tom Gola,32,NYK,SG,77,22.4,2.6,5.9,.448,1.7,2.3,.739,4.1,2.9,3.5,7.0,
Tom Hawkins,28,CIN,SF,79,23.6,2.8,6.8,.409,1.5,2.6,.569,6.0,1.0,3.0,7.0,
Mike Farmer,28,STL,SF,60,21.2,2.8,6.8,.409,1.3,1.6,.798,4.3,1.5,2.1,6.8,
Al Bianchi,32,PHI,PG,60,18.6,2.9,8.1,.360,0.9,1.3,.711,1.6,2.3,3.0,6.7,
Don Kojis,26,DET,SF,65,12.9,2.8,6.4,.433,1.0,1.5,.633,3.7,1.0,1.8,6.5,
Jim King,23,LAL,PG,77,21.7,2.4,6.1,.392,1.5,2.0,.781,2.8,2.3,2.5,6.3,
Larry Siegfried,25,BOS,SG,72,13.8,2.4,5.8,.415,1.5,1.9,.779,1.9,1.7,1.5,6.3,
Happy Hairston,22,CIN,PF,61,12.1,2.1,5.8,.373,1.8,2.7,.667,4.8,0.4,1.6,6.1,
John Rudometkin,24,2TM,SF,23,16.3,2.3,6.7,.338,1.5,2.2,.680,4.3,0.7,2.3,6.0,
Donnie Butcher,28,DET,PG,71,16.3,2.0,5.0,.405,1.8,2.9,.618,2.8,1.7,2.6,5.8,
Si Green,31,BAL,PG,70,15.5,2.2,5.3,.413,1.4,2.3,.627,2.4,2.0,1.9,5.8,
Art Heyman,23,NYK,SG,55,12.1,2.1,4.9,.427,1.6,2.4,.667,1.8,1.4,1.7,5.7,
Larry Jones,22,PHI,SG,23,15.6,2.0,6.7,.307,1.6,2.3,.712,2.5,1.7,2.0,5.7,
Bob Ferry,27,BAL,PF,77,16.6,1.9,4.4,.423,1.6,2.6,.613,4.6,0.8,2.0,5.3,
Wali Jones,22,BAL,SG,77,16.2,2.0,5.3,.375,1.3,1.8,.728,1.8,2.6,2.5,5.3,
Gene Wiley,27,LAL,C,80,25.0,2.2,4.7,.465,0.7,1.4,.505,8.6,1.3,2.9,5.1,
Darrall Imhoff,26,LAL,C,76,20.0,1.9,4.1,.466,1.2,2.0,.571,6.6,1.1,3.1,5.0,
Jackie Moreland,26,DET,PF,54,13.6,1.9,5.5,.348,1.2,1.9,.635,3.4,1.3,2.8,5.0,
Em Bryant,26,NYK,PG,77,17.3,1.9,5.7,.333,1.1,1.7,.654,2.2,2.2,2.8,4.9,
Jeff Mullins,22,STL,SG,44,11.2,2.0,4.8,.416,0.9,1.4,.672,2.3,1.0,1.4,4.9,
Ben Warley,28,PHI,SF,64,14.1,1.5,4.0,.372,1.9,2.8,.705,4.3,0.8,2.7,4.9,
Mel Counts,23,BOS,C,54,10.6,1.9,5.0,.368,1.1,1.4,.784,4.9,0.4,2.5,4.8,
Jerry Greenspan,23,PHI,SG,5,9.8,1.6,2.6,.615,1.6,1.6,1.000,2.2,0.0,2.4,4.8,
George Lee,28,SFW,SF,19,13.0,1.4,4.1,.351,2.0,2.7,.731,2.9,0.6,1.2,4.8,
Bud Koper,22,SFW,SG,54,11.7,2.0,4.5,.440,0.6,0.8,.833,1.1,0.8,1.1,4.6,
Paul Silas,21,STL,PF,79,15.7,1.8,4.7,.373,1.1,2.1,.506,7.3,0.6,2.0,4.6,
Steve Courtin,22,PHI,SG,24,13.2,1.8,4.3,.408,0.7,0.9,.810,0.9,0.9,1.8,4.2,
Walt Hazzard,22,LAL,SG,66,13.9,1.8,4.6,.382,0.7,1.1,.648,1.7,2.1,2.0,4.2,
Jay Arnette,26,CIN,SG,63,10.5,1.4,3.9,.371,0.9,1.2,.747,1.0,1.1,2.0,3.8,
Charlie Hardnett,26,BAL,PF,20,10.0,1.3,4.0,.313,1.2,2.0,.590,3.9,0.1,1.9,3.7,
Willie Jones,28,DET,PG,12,8.4,1.8,4.3,.404,0.2,0.5,.333,0.8,0.6,1.1,3.7,
Barry Kramer,22,2TM,SF,52,9.8,1.2,3.6,.339,1.2,1.6,.714,1.9,0.8,1.3,3.6,
John Thompson,23,BOS,PF,64,10.9,1.3,3.3,.402,1.0,1.6,.590,3.6,0.3,2.2,3.6,
Bob Duffy,24,DET,PG,4,6.5,1.0,2.8,.364,1.5,1.8,.857,1.0,1.3,1.0,3.5,
John Tresvant,25,STL,PF,4,8.8,1.0,2.8,.364,1.5,2.3,.667,4.5,1.5,2.3,3.5,
Hub Reed,28,DET,C,62,12.1,1.4,3.6,.380,0.6,0.9,.690,3.3,0.6,2.2,3.4,
Gary Bradds,22,BAL,SF,41,8.2,1.1,2.7,.414,1.1,1.5,.714,2.0,0.5,0.9,3.3,
Cotton Nash,22,2TM,SF,45,7.9,1.0,3.2,.324,1.0,1.2,.827,1.8,0.4,1.3,3.0,
