Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Awards
Kareem Abdul-Jabbar,23,MIL,C,82,,40.1,13.0,22.5,.577,5.7,8.3,.690,16.0,3.3,3.2,31.7,"MVP-1,AS,NBA1,DEF2"
Bob Rule,26,SEA,C,4,,35.5,11.8,24.5,.480,6.3,7.5,.833,11.5,1.8,3.5,29.8,
John Havlicek,30,BOS,SF,81,,45.4,11.0,24.5,.450,6.8,8.4,.818,9.0,7.5,2.5,28.9,"MVP-6,AS,NBA1,DEF2"
Elvin Hayes,25,SDR,C,82,,44.3,11.6,27.0,.428,5.5,8.2,.672,16.6,2.3,2.7,28.7,AS
Dave Bing,27,DET,PG,82,,37.4,9.7,20.9,.467,7.5,9.4,.797,4.4,5.0,2.8,27.0,"MVP-3,AS,NBA1"
Jerry West,32,LAL,PG,69,,41.2,9.7,19.6,.494,7.6,9.1,.832,4.6,9.5,2.6,26.9,"MVP-2,AS,NBA1,DEF1"
Lou Hudson,26,ATL,SF,76,,41.0,10.9,22.5,.484,5.0,6.6,.759,5.1,3.4,2.4,26.8,AS
Bob Love,28,CHI,PF,81,,43.0,9.4,21.1,.447,6.3,7.6,.829,8.5,2.3,3.2,25.2,"MVP-7,AS,NBA2"
Geoff Petrie,22,POR,SG,82,,37.0,9.6,21.6,.443,5.6,7.3,.772,3.4,4.8,2.4,24.8,"ROY-1,AS"
Pete Maravich,23,ATL,SG,81,,36.1,9.1,19.9,.458,5.0,6.2,.800,3.7,4.4,2.9,23.2,ROY-3
Billy Cunningham,27,PHI,SF,81,80,38.1,8.7,18.8,.462,5.6,7.7,.734,11.7,4.9,4.0,23.0,"MVP-9,AS,NBA1"
Tom Van Arsdale,27,CIN,SF,82,,38.4,9.1,20.0,.456,4.6,6.4,.721,6.1,2.2,3.6,22.9,AS
Chet Walker,30,CHI,SF,81,,36.1,8.0,17.3,.465,5.9,6.9,.859,7.3,2.2,2.3,22.0,AS
Dick Van Arsdale,27,PHO,SG,81,,39.0,7.5,16.6,.452,6.8,8.4,.811,3.9,4.1,3.0,21.9,AS
