Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Kevin Durant,25,OKC,SF,81,81,38.5,10.5,20.8,.503,2.4,6.1,.391,8.1,14.8,.549,.560,8.7,9.9,.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,"MVP-1,AS,NBA1"
Carmelo Anthony,29,NYK,PF,77,77,38.7,9.6,21.3,.452,2.2,5.4,.402,7.5,15.9,.469,.503,6.0,7.0,.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4,"MVP-15,AS"
LeBron James,29,MIA,PF,77,77,37.7,10.0,17.6,.567,1.5,4.0,.379,8.5,13.6,.622,.610,5.7,7.6,.750,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,"MVP-2,DPOY-6,AS,NBA1,DEF2"
Kevin Love,25,MIN,PF,77,77,36.3,8.4,18.5,.457,2.5,6.6,.376,6.0,11.9,.502,.524,6.8,8.2,.821,2.9,9.6,12.5,4.4,0.8,0.5,2.5,1.8,26.1,"MVP-11,AS,NBA2"
James Harden,24,HOU,SG,73,73,38.0,7.5,16.5,.456,2.4,6.6,.366,5.1,9.9,.515,.529,7.9,9.1,.866,0.8,3.9,4.7,6.1,1.6,0.4,3.6,2.4,25.4,"MVP-5,AS,NBA1"
Blake Griffin,24,LAC,PF,80,80,35.8,9.0,17.0,.528,0.2,0.6,.273,8.8,16.4,.537,.533,6.0,8.4,.715,2.4,7.1,9.5,3.9,1.2,0.6,2.8,3.3,24.1,"MVP-3,AS,NBA2"
Stephen Curry,25,GSW,PG,78,78,36.5,8.4,17.7,.471,3.3,7.9,.424,5.0,9.8,.509,.566,3.9,4.5,.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0,"MVP-6,AS,NBA2"
LaMarcus Aldridge,28,POR,PF,69,69,36.2,9.4,20.6,.458,0.0,0.2,.200,9.4,20.4,.461,.459,4.3,5.2,.822,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2,"MVP-10,AS,NBA3"
DeMarcus Cousins,23,SAC,C,71,71,32.4,8.3,16.8,.496,0.0,0.1,.000,8.3,16.7,.499,.496,6.1,8.4,.726,3.1,8.6,11.7,2.9,1.5,1.3,3.5,3.8,22.7,
DeMar DeRozan,24,TOR,SG,79,79,38.2,7.6,17.8,.429,0.8,2.7,.305,6.8,15.2,.451,.452,6.6,8.0,.824,0.6,3.7,4.3,4.0,1.1,0.4,2.2,2.5,22.7,AS
